Record_time,value,us-abbr
2020-Jan,0,us-ak
2020-Feb,0,us-ak
2020-Mar,133,us-ak
2020-Apr,222,us-ak
2020-May,105,us-ak
2020-Jun,480,us-ak
2020-Jul,2050,us-ak
2020-Aug,2273,us-ak
2020-Sep,2561,us-ak
2020-Oct,7450,us-ak
2020-Nov,16049,us-ak
2020-Dec,14138,us-ak
2021-Jan,7137,us-ak
2021-Feb,3391,us-ak
2021-Mar,2591,us-ak
2020-Jan,0,us-al
2020-Feb,0,us-al
2020-Mar,999,us-al
2020-Apr,6307,us-al
2020-May,10939,us-al
2020-Jun,19819,us-al
2020-Jul,49803,us-al
2020-Aug,38191,us-al
2020-Sep,28643,us-al
2020-Oct,37584,us-al
2020-Nov,57239,us-al
2020-Dec,111702,us-al
2021-Jan,98413,us-al
2021-Feb,33613,us-al
2021-Mar,16796,us-al
2020-Jan,0,us-ar
2020-Feb,0,us-ar
2020-Mar,560,us-ar
2020-Apr,2695,us-ar
2020-May,3998,us-ar
2020-Jun,13524,us-ar
2020-Jul,21734,us-ar
2020-Aug,18713,us-ar
2020-Sep,22473,us-ar
2020-Oct,28493,us-ar
2020-Nov,45169,us-ar
2020-Dec,67779,us-ar
2021-Jan,70130,us-ar
2021-Feb,27147,us-ar
2021-Mar,5630,us-ar
2020-Jan,0,us-as
2020-Feb,0,us-as
2020-Mar,0,us-as
2020-Apr,0,us-as
2020-May,0,us-as
2020-Jun,0,us-as
2020-Jul,0,us-as
2020-Aug,0,us-as
2020-Sep,0,us-as
2020-Oct,0,us-as
2020-Nov,3,us-as
2020-Dec,0,us-as
2021-Jan,0,us-as
2021-Feb,1,us-as
2021-Mar,0,us-as
2020-Jan,1,us-az
2020-Feb,0,us-az
2020-Mar,1288,us-az
2020-Apr,6359,us-az
2020-May,12288,us-az
2020-Jun,59279,us-az
2020-Jul,94795,us-az
2020-Aug,27825,us-az
2020-Sep,16672,us-az
2020-Oct,27439,us-az
2020-Nov,80871,us-az
2020-Dec,193390,us-az
2021-Jan,238197,us-az
2021-Feb,58378,us-az
2021-Mar,17825,us-az
2020-Jan,3,us-ca
2020-Feb,9,us-ca
2020-Mar,8119,us-ca
2020-Apr,40786,us-ca
2020-May,61666,us-ca
2020-Jun,112334,us-ca
2020-Jul,270671,us-ca
2020-Aug,210497,us-ca
2020-Sep,106540,us-ca
2020-Oct,111380,us-ca
2020-Nov,290963,us-ca
2020-Dec,1032411,us-ca
2021-Jan,997969,us-ca
2021-Feb,232214,us-ca
2021-Mar,59972,us-ca
2020-Jan,0,us-co
2020-Feb,0,us-co
2020-Mar,2966,us-co
2020-Apr,12216,us-co
2020-May,11196,us-co
2020-Jun,6337,us-co
2020-Jul,14094,us-co
2020-Aug,10615,us-co
2020-Sep,13112,us-co
2020-Oct,36814,us-co
2020-Nov,125555,us-co
2020-Dec,101192,us-co
2021-Jan,59324,us-co
2021-Feb,34882,us-co
