Record_time,value,us-abbr
2020-Jan,56.3,us-al
2020-Feb,56.2,us-al
2020-Mar,56.1,us-al
2020-Apr,49.0,us-al
2020-May,52.7,us-al
2020-Jun,52.8,us-al
2020-Jul,53.0,us-al
2020-Aug,53.1,us-al
2020-Sep,53.2,us-al
2020-Oct,55.6,us-al
2020-Nov,55.5,us-al
2020-Dec,55.5,us-al
2021-Jan,55.5,us-al
2021-Feb,55.5,us-al
2020-Jan,61.5,us-ak
2020-Feb,61.4,us-ak
2020-Mar,61.2,us-ak
2020-Apr,55.9,us-ak
2020-May,55.9,us-ak
2020-Jun,56.1,us-ak
2020-Jul,56.4,us-ak
2020-Aug,56.7,us-ak
2020-Sep,56.8,us-ak
2020-Oct,60.7,us-ak
2020-Nov,60.7,us-ak
2020-Dec,60.7,us-ak
2021-Jan,60.8,us-ak
2021-Feb,60.2,us-ak
2020-Jan,58.8,us-az
2020-Feb,58.6,us-az
2020-Mar,58.5,us-az
2020-Apr,52.1,us-az
2020-May,55.4,us-az
2020-Jun,54.3,us-az
2020-Jul,55.2,us-az
2020-Aug,55.7,us-az
2020-Sep,56.0,us-az
2020-Oct,56.2,us-az
2020-Nov,56.2,us-az
2020-Dec,56.2,us-az
2021-Jan,56.2,us-az
2021-Feb,56.1,us-az
2020-Jan,56.2,us-ar
2020-Feb,56.1,us-ar
2020-Mar,56.0,us-ar
2020-Apr,52.4,us-ar
2020-May,52.5,us-ar
2020-Jun,52.7,us-ar
2020-Jul,53.0,us-ar
2020-Aug,53.2,us-ar
2020-Sep,53.3,us-ar
2020-Oct,53.3,us-ar
2020-Nov,53.2,us-ar
2020-Dec,55.5,us-ar
2021-Jan,55.5,us-ar
2021-Feb,55.0,us-ar
2020-Jan,59.9,us-ca
2020-Feb,59.8,us-ca
2020-Mar,58.9,us-ca
2020-Apr,50.3,us-ca
2020-May,50.0,us-ca
2020-Jun,52.0,us-ca
2020-Jul,52.4,us-ca
2020-Aug,52.7,us-ca
2020-Sep,52.9,us-ca
2020-Oct,54.8,us-ca
2020-Nov,54.6,us-ca
2020-Dec,54.5,us-ca
2021-Jan,54.6,us-ca
2021-Feb,55.8,us-ca
2020-Jan,67.0,us-co
2020-Feb,66.8,us-co
2020-Mar,64.3,us-co
2020-Apr,57.0,us-co
2020-May,59.6,us-co
2020-Jun,60.7,us-co
2020-Jul,61.7,us-co
2020-Aug,62.5,us-co
2020-Sep,63.0,us-co
2020-Oct,63.4,us-co
2020-Nov,63.6,us-co
2020-Dec,63.8,us-co
