Record_time,value,us-abbr
2020-Feb,1,us-ak
2020-Mar,0.7,us-ak
2020-Apr,0.4,us-ak
2020-May,0.77,us-ak
2020-Jun,1.21,us-ak
2020-Jul,1.43,us-ak
2020-Aug,1.03,us-ak
2020-Sep,0.73,us-ak
2020-Oct,0.97,us-ak
2020-Nov,0.89,us-ak
2020-Dec,0.77,us-ak
2021-Jan,0.91,us-ak
2021-Feb,0.91,us-ak
2021-Mar,0.2,us-ak
2020-Feb,1,us-al
2020-Mar,0.68,us-al
2020-Apr,0.19,us-al
2020-May,0.67,us-al
2020-Jun,1.86,us-al
2020-Jul,1.89,us-al
2020-Aug,1.24,us-al
2020-Sep,0.8,us-al
2020-Oct,0.79,us-al
2020-Nov,0.7,us-al
2020-Dec,0.62,us-al
2021-Jan,0.75,us-al
2021-Feb,0.86,us-al
2021-Mar,0.44,us-al
2020-Feb,1,us-ar
2020-Mar,0.66,us-ar
2020-Apr,0.33,us-ar
2020-May,0.55,us-ar
2020-Jun,0.65,us-ar
2020-Jul,0.8,us-ar
2020-Aug,0.59,us-ar
2020-Sep,0.64,us-ar
2020-Oct,1.22,us-ar
2020-Nov,1.08,us-ar
2020-Dec,1.06,us-ar
2021-Jan,1.71,us-ar
2021-Feb,1.54,us-ar
2021-Mar,1.47,us-ar
2020-Feb,1,us-az
2020-Mar,0.64,us-az
2020-Apr,0.32,us-az
2020-May,0.46,us-az
2020-Jun,0.76,us-az
2020-Jul,0.59,us-az
2020-Aug,0.65,us-az
2020-Sep,0.78,us-az
2020-Oct,0.85,us-az
2020-Nov,0.83,us-az
2020-Dec,0.75,us-az
2021-Jan,0.9,us-az
2021-Feb,1.07,us-az
2021-Mar,0.87,us-az
2020-Feb,1,us-ca
2020-Mar,0.62,us-ca
2020-Apr,0.24,us-ca
2020-May,0.33,us-ca
2020-Jun,0.47,us-ca
2020-Jul,0.58,us-ca
2020-Aug,1.06,us-ca
2020-Sep,0.45,us-ca
2020-Oct,0.45,us-ca
2020-Nov,0.47,us-ca
2020-Dec,0.34,us-ca
2021-Jan,0.24,us-ca
2021-Feb,0.35,us-ca
2021-Mar,0.23,us-ca
2020-Feb,1,us-co
2020-Mar,0.66,us-co
2020-Apr,0.33,us-co
2020-May,0.64,us-co
2020-Jun,0.95,us-co
2020-Jul,1.1,us-co
2020-Aug,1.06,us-co
2020-Sep,0.94,us-co
2020-Oct,0.88,us-co
2020-Nov,0.85,us-co
2020-Dec,0.87,us-co
2021-Jan,0.96,us-co
2021-Feb,0.94,us-co
2021-Mar,0.84,us-co
2020-Feb,1,us-ct
2020-Mar,0.6,us-ct
2020-Apr,0.4,us-ct
2020-May,0.65,us-ct
2020-Jun,1.07,us-ct
2020-Jul,1.59,us-ct
2020-Aug,1.72,us-ct
2020-Sep,1.47,us-ct
2020-Oct,1.16,us-ct
2020-Nov,0.85,us-ct
2020-Dec,0.68,us-ct
2021-Jan,1.02,us-ct
2021-Feb,1.16,us-ct
2021-Mar,0.97,us-ct
2020-Feb,1,us-de
2020-Mar,0.52,us-de
2020-Apr,0.12,us-de
2020-May,0.32,us-de
2020-Jun,0.76,us-de
2020-Jul,1.33,us-de
