Record_time,value,us-abbr
2020-Jan,91.5,us-ak
2020-Jan,75,us-al
2020-Jan,67.5,us-ar
2020-Jan,61,us-az
2020-Jan,49,us-ca
2020-Jan,53,us-co
2020-Jan,74,us-ct
2020-Jan,35,us-dc
2020-Jan,47.5,us-de
2020-Jan,61.5,us-fl
2020-Jan,51,us-ga
2020-Jan,93,us-hi
2020-Jan,37,us-ia
2020-Jan,41,us-id
2020-Jan,51,us-il
2020-Jan,49.5,us-in
2020-Jan,42,us-ks
2020-Jan,41.5,us-ky
2020-Jan,67.5,us-la
2020-Jan,47,us-ma
2020-Jan,63,us-md
2020-Jan,30.5,us-me
2020-Jan,50,us-mi
2020-Jan,53.5,us-mn
2020-Jan,60,us-mo
2020-Jan,69,us-nc
2020-Jan,23,us-ne
2020-Jan,78,us-nh
2020-Jan,57,us-nj
2020-Jan,43.5,us-nm
2020-Jan,71,us-nv
2020-Jan,72.5,us-ny
2020-Jan,62,us-oh
2020-Jan,34,us-ok
2020-Jan,50.5,us-or
2020-Jan,43,us-pa
2020-Jan,47,us-ri
2020-Jan,74,us-sc
2020-Jan,62,us-tn
2020-Jan,52.5,us-tx
2020-Jan,36,us-ut
2020-Jan,43,us-va
2020-Jan,116.5,us-vt
2020-Jan,20,us-wa
2020-Jan,67,us-wi
2020-Feb,97.5,us-ak
2020-Feb,67,us-al
2020-Feb,62,us-ar
2020-Feb,57.5,us-az
2020-Feb,39.5,us-ca
2020-Feb,61,us-co
2020-Feb,81,us-ct
2020-Feb,32,us-dc
2020-Feb,49.5,us-de
2020-Feb,65.5,us-fl
2020-Feb,60,us-ga
2020-Feb,97.5,us-hi
2020-Feb,43,us-ia
2020-Feb,30,us-id
2020-Feb,56,us-il
2020-Feb,29.5,us-in
2020-Feb,39,us-ks
2020-Feb,33,us-ky
2020-Feb,67,us-la
2020-Feb,46.5,us-ma
2020-Feb,58,us-md
2020-Feb,28.5,us-me
2020-Feb,48,us-mi
2020-Feb,54.5,us-mn
2020-Feb,69.5,us-mo
2020-Feb,62.5,us-nc
2020-Feb,22.5,us-ne
2020-Feb,76,us-nh
2020-Feb,56,us-nj
2020-Feb,44.5,us-nm
2020-Feb,71,us-nv
2020-Feb,71.5,us-ny
2020-Feb,49,us-oh
2020-Feb,45.5,us-ok
2020-Feb,54,us-or
2020-Feb,41,us-pa
2020-Feb,48,us-ri
2020-Feb,80,us-sc
2020-Feb,64,us-tn
2020-Feb,54,us-tx
2020-Feb,44,us-ut
2020-Feb,43,us-va
2020-Feb,131.5,us-vt
2020-Feb,25,us-wa
2020-Feb,69,us-wi
2020-Mar,87.5,us-ak
2020-Mar,55,us-al
2020-Mar,69.5,us-ar
2020-Mar,48,us-az
2020-Mar,37.5,us-ca
2020-Mar,57.5,us-co
2020-Mar,70,us-ct
2020-Mar,32,us-dc
2020-Mar,40,us-de
2020-Mar,62,us-fl
2020-Mar,49,us-ga
2020-Mar,111.5,us-hi
2020-Mar,27,us-ia
2020-Mar,23,us-id
2020-Mar,43.5,us-il
2020-Mar,24,us-in
2020-Mar,29,us-ks
2020-Mar,27,us-ky
2020-Mar,67.5,us-la
2020-Mar,45,us-ma
2020-Mar,51,us-md
2020-Mar,27.5,us-me
2020-Mar,42,us-mi
2020-Mar,49.5,us-mn
2020-Mar,70,us-mo
2020-Mar,53.5,us-nc
2020-Mar,22.5,us-ne
2020-Mar,70,us-nh
2020-Mar,57,us-nj
2020-Mar,35,us-nm
2020-Mar,66,us-nv
2020-Mar,63.5,us-ny
2020-Mar,49,us-oh
2020-Mar,33.5,us-ok
2020-Mar,52,us-or
2020-Mar,38.5,us-pa
2020-Mar,43,us-ri
2020-Mar,75,us-sc
2020-Mar,61,us-tn
2020-Mar,48,us-tx
2020-Mar,37,us-ut
2020-Mar,36,us-va
2020-Mar,105.5,us-vt
2020-Mar,16,us-wa
2020-Mar,64,us-wi
2020-Apr,80,us-ak
2020-Apr,59,us-al
2020-Apr,74.5,us-ar
2020-Apr,42,us-az
2020-Apr,38,us-ca
2020-Apr,45,us-co
2020-Apr,67,us-ct
2020-Apr,34,us-dc
2020-Apr,33,us-de
2020-Apr,60,us-fl
2020-Apr,41,us-ga
2020-Apr,97.5,us-hi
2020-Apr,34.5,us-ia
2020-Apr,24.5,us-id
2020-Apr,40,us-il
2020-Apr,23,us-in
2020-Apr,43,us-ks
