Record_time,value,us-abbr
2020-Jan,347,us-ak
2020-Jan,105,us-al
2020-Jan,71.5,us-ar
2020-Jan,928.5,us-az
2020-Jan,523,us-ca
2020-Jan,543,us-co
2020-Jan,1134,us-ct
2020-Jan,7114,us-dc
2020-Jan,572.5,us-de
2020-Jan,1239,us-fl
2020-Jan,103.5,us-ga
2020-Jan,248,us-hi
2020-Jan,584.5,us-ia
2020-Jan,244.5,us-id
2020-Jan,184,us-il
2020-Jan,44,us-in
2020-Jan,34,us-ks
2020-Jan,132,us-ky
2020-Jan,641.5,us-la
2020-Jan,944.5,us-ma
2020-Jan,188,us-md
2020-Jan,171.5,us-me
2020-Jan,208,us-mi
2020-Jan,48.5,us-mn
2020-Jan,68.5,us-mo
2020-Jan,94.5,us-nc
2020-Jan,210.5,us-ne
2020-Jan,216,us-nh
2020-Jan,591,us-nj
2020-Jan,131,us-nm
2020-Jan,89,us-nv
2020-Jan,425.5,us-ny
2020-Jan,89.5,us-oh
2020-Jan,85,us-ok
2020-Jan,80.5,us-or
2020-Jan,531,us-pa
2020-Jan,2161,us-ri
2020-Jan,1276,us-sc
2020-Jan,136,us-tn
2020-Jan,104.5,us-tx
2020-Jan,278,us-ut
2020-Jan,1886,us-va
2020-Jan,87,us-vt
2020-Jan,141,us-wa
2020-Jan,128,us-wi
2020-Feb,356.5,us-ak
2020-Feb,104,us-al
2020-Feb,55,us-ar
2020-Feb,918,us-az
2020-Feb,524,us-ca
2020-Feb,512,us-co
2020-Feb,1236,us-ct
2020-Feb,7910,us-dc
2020-Feb,641.5,us-de
2020-Feb,1238,us-fl
2020-Feb,104,us-ga
2020-Feb,247,us-hi
2020-Feb,611,us-ia
2020-Feb,284.5,us-id
2020-Feb,182.5,us-il
2020-Feb,39.5,us-in
2020-Feb,31,us-ks
2020-Feb,131,us-ky
2020-Feb,602,us-la
2020-Feb,1019,us-ma
2020-Feb,189,us-md
2020-Feb,167,us-me
2020-Feb,185,us-mi
2020-Feb,49.5,us-mn
2020-Feb,78,us-mo
2020-Feb,111,us-nc
2020-Feb,276,us-ne
2020-Feb,260,us-nh
2020-Feb,569,us-nj
2020-Feb,122.5,us-nm
2020-Feb,88.5,us-nv
2020-Feb,425,us-ny
2020-Feb,104,us-oh
2020-Feb,82.5,us-ok
2020-Feb,91,us-or
2020-Feb,564,us-pa
2020-Feb,2308,us-ri
2020-Feb,1258,us-sc
2020-Feb,118,us-tn
2020-Feb,100,us-tx
2020-Feb,267,us-ut
2020-Feb,1826,us-va
2020-Feb,78,us-vt
2020-Feb,172,us-wa
2020-Feb,132,us-wi
2020-Mar,314,us-ak
2020-Mar,110,us-al
2020-Mar,60,us-ar
2020-Mar,907.5,us-az
2020-Mar,499,us-ca
2020-Mar,489,us-co
2020-Mar,1027,us-ct
2020-Mar,8185,us-dc
2020-Mar,541,us-de
2020-Mar,1242,us-fl
2020-Mar,86,us-ga
2020-Mar,240,us-hi
2020-Mar,646,us-ia
2020-Mar,267.5,us-id
2020-Mar,154,us-il
2020-Mar,47,us-in
2020-Mar,28,us-ks
2020-Mar,128.5,us-ky
2020-Mar,581.5,us-la
2020-Mar,876.5,us-ma
2020-Mar,181,us-md
2020-Mar,155.5,us-me
2020-Mar,169,us-mi
2020-Mar,47,us-mn
2020-Mar,64.5,us-mo
2020-Mar,103.5,us-nc
2020-Mar,257,us-ne
2020-Mar,219,us-nh
2020-Mar,509,us-nj
2020-Mar,122,us-nm
2020-Mar,95,us-nv
2020-Mar,389,us-ny
2020-Mar,92,us-oh
2020-Mar,66,us-ok
2020-Mar,86,us-or
2020-Mar,424,us-pa
2020-Mar,2082,us-ri
2020-Mar,1217,us-sc
2020-Mar,137,us-tn
2020-Mar,71.5,us-tx
2020-Mar,274,us-ut
2020-Mar,1777,us-va
2020-Mar,64,us-vt
2020-Mar,149,us-wa
