Record_time,value,us-abbr
2020-Jan,259739356.8,us-al
2020-Feb,263373048.3,us-al
2020-Mar,258929070.9,us-al
2020-Apr,240484882.4,us-al
2020-May,181754341.6,us-al
2020-Jun,224216236.3,us-al
2020-Jul,250058907.2,us-al
2020-Aug,253860198.8,us-al
2020-Sep,248390305.4,us-al
2020-Oct,254764097.1,us-al
2020-Jan,24819192.36,us-ak
2020-Feb,24133993.43,us-ak
2020-Mar,21755687.36,us-ak
2020-Apr,17410236.78,us-ak
2020-May,20545258.91,us-ak
2020-Jun,20421060.83,us-ak
2020-Jul,21077784.71,us-ak
2020-Aug,20747958,us-ak
2020-Sep,20295476.92,us-ak
2020-Oct,19935038.74,us-ak
2020-Jan,260589936.2,us-az
2020-Feb,259456671.1,us-az
2020-Mar,225308760.4,us-az
2020-Apr,173362797.7,us-az
2020-May,207672183.1,us-az
2020-Jun,225325138.6,us-az
2020-Jul,230644706.7,us-az
2020-Aug,228957951.3,us-az
2020-Sep,243678688.6,us-az
2020-Oct,241101481.8,us-az
2020-Jan,130618922.3,us-ar
2020-Feb,133049694.8,us-ar
2020-Mar,115907251.2,us-ar
2020-Apr,102105133.4,us-ar
2020-May,106951439.7,us-ar
2020-Jun,120620313.8,us-ar
2020-Jul,123696306.4,us-ar
2020-Aug,121451735.8,us-ar
2020-Sep,126455330.2,us-ar
2020-Oct,126169675.7,us-ar
2020-Jan,1258839026,us-ca
2020-Feb,1273813516,us-ca
2020-Mar,1022687801,us-ca
2020-Apr,787185366,us-ca
2020-May,891154752.9,us-ca
2020-Jun,1025290749,us-ca
2020-Jul,1020708764,us-ca
2020-Aug,1067212041,us-ca
2020-Sep,1077095947,us-ca
2020-Oct,1078222431,us-ca
2020-Jan,196391878.5,us-co
2020-Feb,205443135.9,us-co
2020-Mar,171361216,us-co
2020-Apr,130570710.6,us-co
2020-May,149689183.9,us-co
2020-Jun,172561199.3,us-co
2020-Jul,182474086.4,us-co
2020-Aug,180232264.7,us-co
2020-Sep,185909959.6,us-co
2020-Oct,171565791.3,us-co
2020-Jan,126314303.4,us-ct
2020-Feb,127931530.4,us-ct
2020-Mar,105674957.2,us-ct
2020-Apr,80549560.11,us-ct
2020-May,83087028.54,us-ct
2020-Jun,105048005,us-ct
2020-Jul,111129900.3,us-ct
2020-Aug,117484778.2,us-ct
2020-Sep,115289528.8,us-ct
2020-Oct,112951740.2,us-ct
2020-Jan,46287601.79,us-de
2020-Feb,47208680.29,us-de
2020-Mar,40228455.07,us-de
2020-Apr,29696634.78,us-de
2020-May,30944058.46,us-de
2020-Jun,41291624.15,us-de
2020-Jul,33831631.14,us-de
2020-Aug,39925721.81,us-de
2020-Sep,47342707.48,us-de
2020-Oct,35810562,us-de
2020-Jan,9966783.314,us-dc
2020-Feb,10722565,us-dc
2020-Mar,8425211.714,us-dc
2020-Apr,6447872.705,us-dc
2020-May,5796890.316,us-dc
2020-Jun,6734771.764,us-dc
2020-Jul,7702819.255,us-dc
2020-Aug,9305211.455,us-dc
2020-Sep,10413060.78,us-dc
2020-Oct,10935263.91,us-dc
2020-Jan,775784941.6,us-fl
2020-Feb,788676407.3,us-fl
2020-Mar,786861211.7,us-fl
2020-Apr,686714561.3,us-fl
2020-May,473583216.6,us-fl
2020-Jun,588896533.6,us-fl
2020-Jul,700794833.9,us-fl
2020-Aug,711611145.8,us-fl
2020-Sep,694561967,us-fl
2020-Oct,749183230.5,us-fl
2020-Jan,422990499.2,us-ga
2020-Feb,426383844.2,us-ga
2020-Mar,369427283.6,us-ga
2020-Apr,297775493,us-ga
2020-May,333404424.1,us-ga
2020-Jun,382274065.5,us-ga
2020-Jul,449743697.1,us-ga
2020-Aug,385633196.7,us-ga
2020-Sep,400896601.5,us-ga
2020-Oct,406610110.9,us-ga
2020-Jan,38440291.74,us-hi
2020-Feb,39107957.67,us-hi
